Population ID;Voucher Number;Herbarium;Individuals;Taxon;Nr. of Individuals Sampled;Collected;Country;State or Province;USA County;Location Description;Elevation (m);Latitude;Longitude;Ecology;Major Associated Woody Plant Genera;Abundance and Form;Population Size Estimate;MAT;MWMT;MCMT;TD;MAP;MSP;AHM;SHM;DD_0;DD5;DD_18;DD18;NFFD;bFFP;eFFP;FFP;EMT;EXT;Eref;CMD;RH;OM;P1;P2;BICARB;K;MG;CA;NA;PH;CEC;PERCENT_K;PERCENT_MG;PERCENT_CA;PERCENT_NA;SOL_SALTS
ANN_11;1806;IND;ANN0901-0910;Helianthus annuus;28;12. Sep 15;United States;Arizona;Mohave;E of Kingman, roadside on U.S. Route 40;1030;35,19566;-114,06666;Shrubland and grassland on roadside, with deep soil from limestone, caliche, and sedimentary parent material;Encelia, Eriogonum, and Salsola;Locally abundant. Annual herb, up to 2.0 m tall.;1.000;16,5;28,3;6,1;22,1;267;99;99,5;285,7;39;4278;1645;1094;305;89;318;229;-17,5;43,4;1425;1159;54;2,1;9;48;6;575;566;3571;72;8,4;24,4;6;19,3;73,4;1,3;0,3
ANN_12;1807;IND;ANN0911-0920;Helianthus annuus;25;13. Sep 15;United States;Arizona;Coconino;Williams area, roadside on Forest Road 51A;2115;35,2533;-112,13355;Grassland on flat near roadside, with deep soil;Ambrosia, Pinus, and Verbascum.;Locally abundant. Annual herb, up to 0.5 m tall.;1.000;8,3;19,5;-1,8;21,3;536;223;34,2;87,6;301;1967;3675;152;170;161;270;108;-34,7;36,5;1104;670;45;2,2;23;106;0;265;632;3096;65;7,2;21,7;3,1;24,3;71,3;1,3;0,4
ANN_13;1811;IND;ANN0921-0930;Helianthus annuus;10;13. Sep 15;United States;Arizona;Yavapi;Verde River, vicinity of Deadhorse Lake;1005;34,75056;-112,01697;Riparian forest and wetland, with deep soil from alluvium;Populus, Salix, Baccharis, Typha, and Xanthium.;Locally abundant. Annual herb, up to 2.0 m tall.;100;16,4;28,1;5,8;22,3;328;158;80,3;178,4;42;4225;1684;1073;277;102;307;206;-21,9;43,1;1557;1229;47;1,8;3;35;12;210;488;3217;43;8;20,9;2,6;19,5;77;0,9;0,4
ANN_14;1813;IND;ANN0931-0940;Helianthus annuus;28;14. Sep 15;United States;Arizona;Coconino;Tuba City area, roadside on State Route 160 just W of Tuba City;1410;36,1086;-111,24184;Disturbed, weedy roadside vegetation on flat, with deep soil from sedimentary parent material;Salsola, Sphaeralcea, and Populus.;Locally abundant. Annual herb, up to 2.0 m tall.;200;13,2;26,3;0;26,3;158;70;146,6;376,1;157;3381;2533;767;240;113;295;182;-29;42,1;1319;1174;50;0,2;1;21;3;148;253;2658;507;9,3;18;2,1;11,7;74;12,2;0,3
ANN_15;1815;IND;ANN0941-0950;Helianthus annuus;30;14. Sep 15;United States;Arizona;Navajo;Winslow, W side, roadside on W Winslow Industrial Spur, near exit 252 on U.S. Route 40;1515;35,03852;-110,7351;Weedy vacant lot and roadside ditch, with deep soil from sandstone;Salsola and Grindelia.;Locally abundant. Annual herb, up to 2.0 m tall.;10.000;12,6;25,5;-0,5;26;201;106;112,4;241,5;175;3213;2648;676;228;120;293;173;-30,7;41,3;1334;1143;48;1,6;3;69;15;686;245;3771;57;8,1;22,9;7,7;8,9;82,3;1,1;0,4
ANN_16;1817;IND;ANN0951-0960;Helianthus annuus;30;15. Sep 15;United States;New Mexico;McKinley;Thoreau, S side, roadside frontage road (New Mexico 122) along U.S. Route 40;2180;35,40041;-108,23557;Grassland and shrubland on flat, with deep soil from sedimentary parent material;Artemisia, Grindelia, and Atriplex.;Locally abundant. Annual herb, up to 2.0 m tall.;10.000;8,3;20,2;-3,1;23,2;327;170;55,9;118,4;366;2056;3726;193;172;154;271;117;-36,7;36,9;1067;808;45;1,2;6;56;6;446;527;7278;198;8,3;42,8;2,7;10,3;85;2;0,6
ANN_17;1818;IND;ANN0961-0970;Helianthus annuus;29;15. Sep 15;United States;New Mexico;Cibola;Mount Taylor, W slope, roadside on New Mexico State Route 547;2425;35,24503;-107,68594;Woodland and grassland in E-W trending ravine on a W-facing slope, with rocky soil from volcanic parent material;Pinus, Juniperus, and Atriplex.;Infrequent. Annual herb, up to 2.5 m tall.;100;8,4;19,3;-2;21,3;327;195;56,2;99,1;314;2008;3655;155;190;146;274;128;-32,7;35,9;1006;727;51;4,9;32;58;0;418;319;2925;36;6,7;18,5;5,8;14,4;79;0,8;0,4
ANN_18;1820;IND;ANN0971-0980;Helianthus annuus;30;16. Sep 15;United States;New Mexico;Harding;Canadian River watershed, SW of Mills, roadside on Mills Canyon Road;1810;36,07308;-104,28873;Grassland on gentle, S-facing slope near bottom of ravine, w deep soil from sedimentary parent material;Grindelia, Artemisia, and Salsola.;Abundant. Annual herb, up to 2.0 m tall.;1.000;10,7;22,1;-0,5;22,7;391;288;52,9;76,9;207;2712;3019;381;202;128;282;154;-33,1;38,9;1200;816;47;2,6;1;23;13;454;214;4442;33;8;25,3;4,6;7;87,8;0,6;0,5
ANN_19;1822;IND;ANN0981-0990;Helianthus annuus;28;16. Sep 15;United States;New Mexico;Colfax;Capulin area, roadside on A-18, SW of Capulin;2090;36,7268;-104,01913;Grassland on flat, with deep soil from volcanic parent material;Salsola, Chenopodium, and Solanum.;Locally abundant. Annual herb, up to 2.0 m tall.;1.000;8,9;20,1;-1,5;21,6;415;321;45,6;62,7;280;2226;3501;210;182;141;273;132;-35,1;37,3;1071;675;47;2,9;27;69;0;698;203;4154;19;7,7;24,3;7,4;7;85,3;0,3;0,6
ANN_20;1827;IND;ANN0991-1000;Helianthus annuus;24;17. Sep 15;United States;Colorado;Montrose;Cerro Summit, E side, roadside on U.S. Route 50;2390;38,44366;-107,62928;Grassland on S-facing slope and roadside ditch, with deep soil from volcanic parent material;Artemisia and Ericameria.;Locally abundant. Annual herb, up to 1.5 m tall.;1.000;6,2;18,6;-5,3;23,8;406;176;40;105,3;578;1665;4380;100;166;154;263;109;-37,4;36,4;844;561;51;3,6;122;180;0;188;668;1842;124;7,7;15,8;3,1;35,2;58,3;3,4;0,4
ANN_21;1828;IND;ANN1001-1010;Helianthus annuus;30;17. Sep 15;United States;Colorado;Mesa;Smith Ditch, roadside on U.S. Route 50, SE of Grand Junction;1525;38,91004;-108,3738;Banks of operating irrigation canal, with deep soil from sedimentary parent material;Atriplex, Populus, Ericameria, and Xanthium.;Locally abundant. Annual herb, up to 3.0 m tall.;100;10,7;24,5;-3,9;28,5;257;110;80,4;223,1;341;2898;3194;523;220;117;285;167;-33,7;40,6;1121;896;52;2,2;19;41;24;478;666;4668;120;7,9;30,6;4;18,1;76,2;1,7;1
ANN_22;1829;IND;ANN1011-1020;Helianthus annuus;30;17. Sep 15;United States;Colorado;Mesa;Gunnison River Canyon, roadside on U.S. Route 50;1460;39,00672;-108,46384;Shrubland in shallow ravine bottom and slopes, with rocky soil derived from sedimentary parent material;Chenopodium, Opuntia, Salsola, Asclepias, and Tamarix.;Locally abundant. Annual herb, up to 2.0 m tall.;1.000;11,1;25,2;-3,8;29;222;99;95,3;255,6;323;3032;3096;590;225;114;286;171;-33,2;41,2;1138;942;52;0,8;2;4;5;310;207;18920;551;7,8;99;0,8;1,7;95,1;2,4;3,8
ANN_23;1830;IND;ANN1021-1030;Helianthus annuus;27;18. Sep 15;United States;Nevada;Eureka;Emmigrant Pass, E end, S of Mary's Mountain, roadside on U.S. Route 80;1790;40,66257;-116,23876;Grassland and disturbed roadside vegetation on S-facing slope, with deep soil from conglomerate parent material;Salsola and Ericameria.;Locally abundant. Annual herb, up to 1.5 m tall.;100;8,7;22,2;-2,6;24,8;291;106;64,3;209,3;345;2182;3681;297;202;142;279;137;-31,1;39,6;924;713;57;1,4;22;85;0;203;131;1667;332;8,5;11,4;4,6;9,6;73,1;12,7;0,4
ANN_24;1831;IND;ANN1031-1040;Helianthus annuus;31;18. Sep 15;United States;Nevada;Washoe;Truckee River Canyon, roadside on U.S. Route 80;1540;39,48892;-119,99511;Grassland and disturbed roadside vegetation, with deep soil from granite parent material;Pinus, Purshia, Artemisia, Ericameria, and Cercocarpus.;Locally abundant. Annual herb, up to 1.5 m tall.;200;8,4;19,4;-1;20,4;479;80;38,5;240,9;264;1938;3630;145;178;159;263;104;-31,3;39,2;1050;801;48;2,5;23;104;0;187;233;2068;146;7,1;13,4;3,6;14,5;77,2;4,7;0,2
ANN_25;1838;IND;ANN1041-1050;Helianthus annuus;29;03. Oct 15;United States;Nevada;Clark;Mesquite, roadside on Hafen Lane;480;36,79654;-114,09841;Disturbed shrubland on gentle, S-facing slope, with deep soil derived from sandstone parent material;Salsola;Locally abundant. Annual herb, up to 2.5 m tall.;100;18,4;31,3;6,5;24,8;153;57;185,9;553,2;33;4954;1426;1564;296;89;312;223;-20,1;48,8;1639;1486;46;0,2;1;17;5;153;163;2186;62;8,5;13;3;10,4;84,5;2,1;0,3
ANN_26;1839;IND;ANN1051-1060;Helianthus annuus;30;03. Oct 15;United States;Utah;Washington;Washington, roadside on West Buena Vista Boulevard, between Buena Vista Boulevard and Interstate 15;875;37,13733;-113,51348;Distrubed grassland and woodland on flat near small reservior;Populus, Atriplex, Salix, Rumex, and Salsola.;Locally abundant. Annual herb, up to 3.0 m tall.;1.000;16,3;29,3;4,2;25,1;203;65;129,5;449,6;59;4253;1822;1191;280;99;305;206;-22,8;45,4;1472;1269;50;0,6;25;71;7;451;754;3588;632;8,8;28,1;4,1;22,4;63,7;9,8;4
ANN_27;1841;IND;ANN1061-1070;Helianthus annuus;30;03. Oct 15;United States;Utah;Kane;Three Lakes Canyon, roadside on U.S. Route 89, N of Kanab;1660;37,13137;-112,56561;Woodland and weedy roadside on flat, with deep soil derived from sandstone parent material;Populus, Salix, Lotus, Juniperus, and Quercus.;Locally abundant. Annual herb, up to 2.0 m tall.;1.000;10,7;22,9;-0,5;23,4;375;130;55,1;175,8;208;2614;3060;397;207;135;282;147;-31,3;40,2;1203;870;48;1,7;31;35;0;68;231;1933;46;8,2;12;1,5;16;80,8;1,7;0,2
ANN_28;1843;IND;ANN1071-1080;Helianthus annuus;30;04. Oct 15;United States;Utah;Beaver;Roadside on Interstate 15, just S of Beaver;1840;38,21652;-112,64767;Grassland on flat and roadside ditch, with deep soil from volcanic parent material;Ericameria, Artemisia, and Grindelia.;Locally abundant. Annual herb, up to 1.0 m tall.;1.000;8,8;21,5;-2,7;24,2;314;137;59,8;157,6;341;2208;3613;273;182;144;271;127;-34,9;39,7;1048;800;47;1,7;24;122;0;800;158;1669;900;8,6;15,6;13,1;8,4;53,4;25,1;0,5
ANN_29;1844;IND;ANN1081-1090;Helianthus annuus;30;04. Oct 15;United States;Utah;Millard;Roadside on U.S. Route 6, N of Lynndyl;1465;39,55006;-112,35661;Shrubland in roadside ditch, with deep, sandy soil;Ericameria, Artemisia, Asclepias, and Salsola.;Locally abundant. Annual herb, up to 1.5 m tall.;1.000;9,8;24,1;-3,8;27,9;254;106;77,8;227,8;370;2570;3443;451;193;133;273;140;-34,9;41,7;1114;913;47;1;2;61;16;453;448;2347;224;8,3;17,6;6,6;21,2;66,7;5,5;0,4
ANN_30;1845;IND;ANN1091-1100;Helianthus annuus;30;04. Oct 15;United States;Utah;Juab;Jericho Junction, near Jericho, at intersection of U.S. Route 6 and unnamed road to Little Sahara Recreation Area;1590;39,7148;-112,20662;Grassland on gentle, W-facing slope, with deep, sandy soil;Ericameria and Salsola.;Abundant. Annual herb, up to 1.0 m tall.;10.000;9;23,2;-4;27,3;288;117;66,1;198,1;405;2374;3634;370;188;139;272;133;-35,4;40,8;1061;834;48;0,9;23;118;13;547;213;2795;34;8,4;17,3;8,1;10,3;80,7;0,9;0,2
ANN_31;1846;IND;ANN1101-1110;Helianthus annuus;30;04. Oct 15;United States;Utah;Utah;Utah Lake area, City of Springville, S of Hobble Creek, near intersection of N2250W and W800N;1380;40,1781;-111,65071;Herbaceous vegetation in recently graded vacant lot, with very rocky soil;Salsola, Chenopodium, and Polygonum.;Abundant. Annual herb, up to 2.0 m tall.;10.000;10,3;24;-3;26,9;443;157;45,9;152,2;308;2670;3240;458;220;121;281;160;-31,2;41,5;1090;735;53;1,1;5;6;17;373;279;2540;70;8,1;16,3;5,9;14,3;77,9;1,9;0,4
ANN_32;1847;IND;ANN1111-1120;Helianthus annuus;30;05. Oct 15;United States;Utah;Box Elder;Perry, near intersection of Highway 91 and Interstate 15, S of U.S. Route 91;1295;41,48524;-112,0556;Grassland on flat, with deep soil derived from alluvium;Ericameria, Grindelia, Salsola, and Tamarix.;Abundant. Annual herb, up to 1.5 m tall.;1.000;9,6;23,8;-4,3;28,1;518;175;37,8;136;398;2617;3487;442;215;121;280;159;-32,5;41;992;631;55;4,2;34;164;0;846;500;2337;1475;7,9;24,4;8,9;17,1;47,7;26,3;2,8
ANN_33;1848;IND;ANN1121-1130;Helianthus annuus;30;05. Oct 15;United States;Utah;Salt Lake;Lee Creek area, roadside on North Temple Frontage Road (US Route 80 frontage road), SE shore of Great Salt Lake;1295;40,77115;-112,15004;Grassland on flat, with deep soil derived from sediment;Ericameria, Salsola, and Grindelia.;Abundant. Annual herb, up to 2.0 m tall.;1.000;10,9;25,3;-2,1;27,5;365;141;57,4;179,4;270;2818;3129;565;240;109;290;181;-28,5;41,2;999;682;61;1,3;1;2;8;174;180;2152;97;8,4;13,1;3,4;11,5;81,9;3,2;0,2
ANN_34;1849;IND;ANN1131-1140;Helianthus annuus;30;05. Oct 15;United States;Utah;Tooele;Lake Point, interchange at intersection of U.S. Route 80 and Utah State Route 36;1295;40,69149;-112,26423;Grassland on flat, with deep soil derived from sediment;Salsola and Apocynum.;Abundant. Annual herb, up to 1.5 m tall.;1.000;10,8;25,2;-2,1;27,2;434;162;48;155,4;269;2778;3157;550;238;111;290;179;-28,6;41,1;994;624;60;4,7;15;100;14;717;345;3253;264;7,9;22,1;8,3;13;73,5;5,2;0,9
ANN_35;1851;IND;ANN1141-1150;Helianthus annuus;35;11. Oct 15;United States;Utah;Uintah;Vernal area, E of Steinaker Reservoir, roadside on unnamed road N of 500 E Street and E of Utah State Route 191;1670;40,51274;-109,51947;Grassland on gentle, S-facing slope, with deep soil derived from sedimentary parent material;Ericameria, Salsola, and Juniperus.;Abundant. Annual herb, up to 2.0 m tall.;1.000;7,5;22,2;-8,4;30,7;220;100;79,6;222,9;713;2297;4105;304;179;137;267;130;-39,8;40,4;1030;847;46;2,3;8;93;28;312;202;3162;77;8,1;18,6;4,3;9,1;84,8;1,8;0,5
ANN_36;1852;IND;ANN1151-1160;Helianthus annuus;30;12. Oct 15;United States;Wyoming;Carbon;Roadside on U.S. Route 80, W of Rawlins;2040;41,77426;-107,45885;Grassland and shrubland on in roadside ditch and swale;Polygonum.;Abundant. Annual herb, up to 1.0 m tall.;1.000;5,5;19,4;-7;26,4;239;121;64,7;160;776;1703;4667;129;154;160;255;95;-38,7;37,4;822;655;50;1,6;24;77;21;559;590;3283;299;8,1;24,1;5,9;20,4;68,3;5,4;1
ANN_37;1854;IND;ANN1161-1170;Helianthus annuus;30;13. Oct 15;United States;Colorado;Larimer;Loveland area, roadside on South Shields Street, just S of intersection with Truxtun Drive;1550;40,48679;-105,09619;Grassland on gentle, E-sloping side of drainage, with deep soil derived from sedimentary parent material;Typha, Asclepias, Rumex, Ericameria, and Helianthus.;Abundant. Annual herb, up to 1.5 m tall.;10.000;8,7;21,6;-3,3;24,8;373;214;50,1;100,9;384;2313;3654;289;189;131;270;139;-36,2;39,3;979;643;48;3,9;40;71;35;479;1271;3528;822;7,8;33;3,7;32,1;53,4;10,8;4
ANN_38;1861;IND;ANN1171-1180;Helianthus annuus;27;15. Oct 15;United States;Kansas;Barton;Cheyenne Bottoms, intersection of Cheyenne Bottoms Road and K-156;555;38,44118;-98,63231;Wetland in slough and adjacent grassland, with deep soil derived from sediment;Solidago, Rumex, Typha, and Xanthium.;Abundant. Annual herb, up to 2.0 m tall.;1.000;13;27,1;-1,4;28,5;635;403;36,3;67,2;222;3558;2686;898;226;108;292;185;-29,6;43,6;1155;533;56;6,6;71;131;0;820;530;3817;252;6,6;28,4;7,4;15,6;67,2;3,9;1,1
ANN_39;1864;IND;ANN1181-1190;Helianthus annuus;30;16. Oct 15;United States;Kansas;Sumner;Norwich area, roadside on SE 130 Street, at intersection with SE 110 Avenue, E of Norwich;445;37,45911;-97,9179;Grassland and riparian forest in flat and in roadside ditch;Helianthus, Apocynum, Celtis, Salix, Solidago, and Typha.;Infrequent. Annual herb, up to 3.5 m tall.;150;14;27,6;-0,3;27,9;717;435;33,5;63,6;169;3801;2440;1006;231;105;296;192;-27,6;44,3;1189;489;58;4,5;32;61;0;289;436;3465;77;7,3;22;3,4;16,5;78,6;1,5;0,3
ANN_40;1866;IND;ANN1191-1200;Helianthus annuus;29;16. Oct 15;United States;Kansas;Barber;Gypsum Hills, Cedar Creek watershed, roadside on Gypsum Hill Road;555;37,23327;-98,66459;Grassland on gentle, W-facing slope and roadside, with deep soil derived from sedimentary parent material, including gypsum;Juniperus, Celtis, Artemisia, and Andropogon.;Infrequent. Annual herb, up to 1.5 m tall.;50;13,9;27,6;-0,1;27,7;653;402;36,7;68,6;166;3774;2449;993;229;107;294;187;-28,8;44,6;1239;600;54;4,6;17;65;0;360;225;3457;22;6,6;21,5;4,3;8,7;80,4;0,4;1
ANN_41;1871;IND;ANN1201-1210;Helianthus annuus;30;17. Oct 15;United States;Oklahoma;Alfalfa;Salt Plains, roadside on Oklahoma State Highway 11;355;36,80874;-98,22242;Herbaceous vegetation on alluvial flat between river courses, with deep soil derived from alluvium;Polygonum, Tamarix, and Sorghum.;Abundant. Annual herb, up to 4.5 m tall.;100.000;15;28,5;0,9;27,6;703;413;35,5;69;127;4059;2218;1139;237;102;298;196;-26,6;45,3;1280;577;57;2,7;30;91;0;559;473;4876;127;7,8;30,3;4,7;13;80,5;1,8;0,7
ANN_42;1875;IND;ANN1211-1220;Helianthus annuus;30;19. Oct 15;United States;Texas;Tarrant;Haslet area, roadside on Fossil Springs Drive, near intersection with West Bonds Ranch Road;235;32,92224;-97,36547;Grassland on flat, with deep soil;Salsola, Xanthium, and Sorghum.;Abundant. Annual herb, up to 2.0 m tall.;10.000;18,3;29,3;6,3;23;863;407;32,8;72;31;4983;1348;1478;302;80;320;240;-18,5;44,7;1389;528;62;5,1;5;21;9;492;313;7398;37;7,6;41;3,1;6,4;90,1;0,4;0,8
ANN_43;1876;IND;ANN1221-1230;Helianthus annuus subsp. texanus;30;20. Oct 15;United States;Texas;Caldwell;Roadside on Texas State Highway 183, N of Luling;145;29,73315;-97,65574;Grassland on flat and E-facing, gentle slope, with rocky soil derived from limestone parent material;Grindelia, Quercus, Opuntia, and Schinus.;Locally abundant. Annual herb, up to 1.8 m tall.;1.000;20,2;29,1;9,8;19,3;892;429;33,9;68;12;5583;874;1694;350;51;337;286;-13,2;43,8;1518;625;62;5,6;6;23;9;326;382;4948;39;7,4;28,9;2,9;11;85,5;0,6;0,7
ANN_44;1880;IND;ANN1231-1240;Helianthus annuus subsp. texanus;30;21. Oct 15;United States;Texas;Frio;Moore, roadside on U.S. Route 35 Frontage Road;215;29,05186;-99,01808;Grassland and savanna on flat, with rocky soil derived from limestone;Yucca, Schinus, and Acacia.;Abundant. Annual herb, up to 2.0 m tall.;1.000;20,9;29,2;10,6;18,6;672;345;45,9;84,6;10;5786;768;1817;353;48;340;291;-12,2;44,7;1598;926;61;1,9;7;13;0;366;112;2484;19;7,4;14,4;6,5;6,5;86,4;0,6;0,4
ANN_45;1881;IND;ANN1241-1250;Helianthus annuus subsp. texanus;31;21. Oct 15;United States;Texas;Maverick;Comanche Creek, roadside on U.S. Route 277;210;28,63085;-100,1189;Grassland on banks of creek, with deep, sandy soil;Acacia and Ulmus.;Abundant. Annual herb, up to 2.0 m tall.;100;21,4;29,8;10,9;18,9;551;312;57,1;95,6;9;5996;702;1960;355;46;342;296;-11,1;45,5;1641;1091;60;2,3;3;69;18;480;124;3354;20;7,8;19,1;6,4;5,4;87,7;0,5;0,4
ANN_46;1919;IND;ANN1251-1260;Helianthus annuus;30;04. Nov 15;United States;California;Riverside;City of Banning, roadside on John Street, S of U.S. Route 10, S of railroad tracks;690;33,92321;-116,86432;Herbaceous vegetation at roadside and train-track right-of-way, on flat, with rocky soil derived from granite alluvium;Salsola.;Abundant. Annual herb, up to 3.0 m tall.;10.000;16,7;25,4;9,7;15,7;423;60;63,1;422,4;17;4291;1311;809;336;62;341;279;-11,5;45,1;1492;1095;52;0,8;39;70;0;202;89;874;29;6,5;6,3;8,2;11,8;69,4;2;0,2
ANN_47;1920;IND;ANN1261-1270;Helianthus annuus;27;05. Nov 15;United States;Arizona;Pinal;Picacho area, roadside on U.S. Route 10;475;32,73158;-111,53769;Grassland and disturbed desert scrub on flat, with deep soil derived from volcanic alluvium;Salsola, Larrea, and Prosopis.;Infrequent. Annual herb, up to 2.0 m tall.;100;20,9;32,3;10,4;21,9;265;102;116,6;316;12;5817;877;1931;337;57;335;278;-12,5;46,3;1763;1498;50;2,4;14;99;20;1402;302;4957;62;8,1;31,2;11,5;8,1;79,5;0,9;0,7
ANN_48;1921;IND;ANN1271-1280;Helianthus annuus;26;05. Nov 15;United States;Arizona;Santa Cruz;Santa Cruz River Valley, Roadside on Interstate 19, N of Rio Rico;1030;31,5081;-111,01274;Desert scrub and herbaceous roadside vegetation on flat, with deep soil derived from granite;Sambucus, Conyza, and Celtis.;Abundant. Annual herb, up to 4.0 m tall.;1.000;17;26,6;8,3;18,3;430;262;62,7;101,4;23;4399;1387;989;288;101;312;211;-19,5;42,4;1667;1236;45;1,8;18;85;0;381;159;1986;32;7,1;12,4;7,9;10,7;80,3;1,1;0,2
